,Comuna,Partido,Porc_Pres,Porc_DipNac,Porc_JefGob,Porc_Com1,Porc_Com2,Porc_Com3,Porc_Com4,Porc_Com5,Porc_Com6,Porc_Com7,Porc_Com8,Porc_Com9,Porc_Com10,Porc_Com11,Porc_Com12,Porc_Com13,Porc_Com14,Porc_Com15
84,COMUNA 08,NULO,1.16,1.03,1.02,,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,COMUNA 08,RECURRIDO,0.04,0.04,0.05,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,COMUNA 08,IMPUGNADO,0.06,0.05,0.07,,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,COMUNA 08,OTROS,1.38,3.43,1.63,,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,COMUNA 09,FIT,3.92,4.34,3.91,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16,0.0,0.0,0.0,0.0,0.0,0.0
89,COMUNA 09,FDT,38.41,36.79,37.54,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.08,0.0,0.0,0.0,0.0,0.0,0.0
90,COMUNA 09,JXC,36.44,37.06,38.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.32,0.0,0.0,0.0,0.0,0.0,0.0
91,COMUNA 09,CF,10.29,9.06,8.68,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.45,0.0,0.0,0.0,0.0,0.0,0.0
92,COMUNA 09,ULD,3.73,3.29,0.08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,COMUNA 09,NOS,1.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
